municipio_code,vulnerable_count,uf_sigla,uf_code,municipio_code5,municipio_name,population2019,municipio_code6,regiao_code,regiao_sigla,regiao_name,vulnerable_prop
3516200,58321,SP,35,16200,Franca,353187,351620,3,SE,Sudeste,0.16512782180544583
3518701,65428,SP,35,18701,Guarujá,320459,351870,3,SE,Sudeste,0.20416964416664846
3518800,256399,SP,35,18800,Guarulhos,1379182,351880,3,SE,Sudeste,0.1859065736066741
3520509,31670,SP,35,20509,Indaiatuba,251627,352050,3,SE,Sudeste,0.1258608972804985
3523107,84415,SP,35,23107,Itaquaquecetuba,370821,352310,3,SE,Sudeste,0.22764352612176764
3525904,48579,SP,35,25904,Jundiaí,418962,352590,3,SE,Sudeste,0.11595084995775273
3526902,49205,SP,35,26902,Limeira,306114,352690,3,SE,Sudeste,0.16074076977857923
3529401,65319,SP,35,29401,Mauá,472912,352940,3,SE,Sudeste,0.1381208343201272
3530607,87104,SP,35,30607,Mogi das Cruzes,445842,353060,3,SE,Sudeste,0.19536966010380358
3534401,132229,SP,35,34401,Osasco,698418,353440,3,SE,Sudeste,0.18932644920377195
3538709,63056,SP,35,38709,Piracicaba,404142,353870,3,SE,Sudeste,0.1560243676727487
3541000,61415,SP,35,41000,Praia Grande,325073,354100,3,SE,Sudeste,0.18892679490452913
3543402,95314,SP,35,43402,Ribeirão Preto,703293,354340,3,SE,Sudeste,0.13552530737544666
3547809,110545,SP,35,47809,Santo André,718773,354780,3,SE,Sudeste,0.15379681763227054
3548500,59215,SP,35,48500,Santos,433311,354850,3,SE,Sudeste,0.13665704309375945
3548708,123329,SP,35,48708,São Bernardo do Campo,838936,354870,3,SE,Sudeste,0.14700644626050138
3548906,37709,SP,35,48906,São Carlos,251983,354890,3,SE,Sudeste,0.14964898425687448
3549805,75284,SP,35,49805,São José do Rio Preto,460671,354980,3,SE,Sudeste,0.16342248589557407
3549904,119171,SP,35,49904,São José dos Campos,721944,354990,3,SE,Sudeste,0.16506958988508805
3550308,2327619,SP,35,50308,São Paulo,12252023,355030,3,SE,Sudeste,0.18997834071973257
3551009,63387,SP,35,51009,São Vicente,365798,355100,3,SE,Sudeste,0.17328416229722415
3552205,114232,SP,35,52205,Sorocaba,679378,355220,3,SE,Sudeste,0.16814203580333775
3552403,47458,SP,35,52403,Sumaré,282441,355240,3,SE,Sudeste,0.16802801293013409
3552502,66590,SP,35,52502,Suzano,297637,355250,3,SE,Sudeste,0.22372890467247017
3552809,55693,SP,35,52809,Taboão da Serra,289664,355280,3,SE,Sudeste,0.1922675927971719
3554102,51075,SP,35,54102,Taubaté,314924,355410,3,SE,Sudeste,0.16218198676506076
4104808,54369,PR,41,04808,Cascavel,328454,410480,4,S,Sul,0.16553002855803248
4106902,287734,PR,41,06902,Curitiba,1933105,410690,4,S,Sul,0.14884551020249806
4108304,60312,PR,41,08304,Foz do Iguaçu,258532,410830,4,S,Sul,0.2332864016833506
4113700,90711,PR,41,13700,Londrina,569733,411370,4,S,Sul,0.159216685710675
4115200,58979,PR,41,15200,Maringá,423666,411520,4,S,Sul,0.1392110766500026
4119905,64133,PR,41,19905,Ponta Grossa,351736,411990,4,S,Sul,0.1823327723065026
4125506,55863,PR,41,25506,São José dos Pinhais,323340,412550,4,S,Sul,0.17276860270922248
4202404,39160,SC,42,02404,Blumenau,357199,420240,4,S,Sul,0.10963076604357795
4205407,85393,SC,42,05407,Florianópolis,500973,420540,4,S,Sul,0.17045429594010056
4209102,73011,SC,42,09102,Joinville,590466,420910,4,S,Sul,0.12364979524646635
4304606,58384,RS,43,04606,Canoas,346616,430460,4,S,Sul,0.16844000276963556
4305108,55273,RS,43,05108,Caxias do Sul,510906,430510,4,S,Sul,0.10818624169612415
4309209,48360,RS,43,09209,Gravataí,281519,430920,4,S,Sul,0.17178236637669217
4314407,61493,RS,43,14407,Pelotas,342405,431440,4,S,Sul,0.17959141951782245
4314902,217278,RS,43,14902,Porto Alegre,1483771,431490,4,S,Sul,0.14643634361367083
4316907,43669,RS,43,16907,Santa Maria,282123,431690,4,S,Sul,0.15478709640830418
4323002,46102,RS,43,23002,Viamão,255224,432300,4,S,Sul,0.18063348274456947
5002704,182393,MS,50,02704,Campo Grande,895982,500270,5,CO,Centro-Oeste,0.20356770560122858
5103403,135096,MT,51,03403,Cuiabá,612547,510340,5,CO,Centro-Oeste,0.22054797427789213
5108402,65541,MT,51,08402,Várzea Grande,284971,510840,5,CO,Centro-Oeste,0.2299918237294321
5201108,79368,GO,52,01108,Anápolis,386923,520110,5,CO,Centro-Oeste,0.20512608451810826
5201405,96544,GO,52,01405,Aparecida de Goiânia,578179,520140,5,CO,Centro-Oeste,0.16697943024565057
5208707,269901,GO,52,08707,Goiânia,1516113,520870,5,CO,Centro-Oeste,0.1780216909953282
5300108,478956,DF,53,00108,Brasília,3015268,530010,5,CO,Centro-Oeste,0.15884359201238496
