estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Goiás,5206602,Cumari,Centro-Oeste,2854,0,0,0,0,1,1,35.0385423966363,35.0385423966363,2,2,70.0770847932726,70.0770847932726
Pernambuco,2604908,Cumaru,Nordeste,10906,0,0,0,0,11,11,100.861910874748,100.861910874748,7,7,64.1848523748395,64.1848523748395
Pará,1502764,Cumaru do Norte,Norte,13473,0,0,0,0,3,3,22.2667557336896,22.2667557336896,16,16,118.756030579678,118.756030579678
Sergipe,2801900,Cumbe,Nordeste,3987,0,0,0,0,3,3,75.2445447705041,75.2445447705041,3,3,75.2445447705041,75.2445447705041
São Paulo,3513603,Cunha,Sudeste,21547,0,0,0,0,24,23,111.38441546387,106.743398152875,15,14,69.6152596649186,64.974242353924
Santa Catarina,4204707,Cunha Porã,Sul,11086,0,0,0,0,14,10,126.285405015335,90.203860725239,7,7,63.1427025076673,63.1427025076673
Santa Catarina,4204756,Cunhataí,Sul,1962,0,0,0,0,1,1,50.9683995922528,50.9683995922528,1,1,50.9683995922528,50.9683995922528
Minas Gerais,3120839,Cuparaque,Sudeste,4982,0,0,0,0,3,2,60.2167804094741,40.1445202729827,3,3,60.2167804094741,60.2167804094741
Pernambuco,2605004,Cupira,Nordeste,24107,0,0,0,0,6,6,24.8890363794748,24.8890363794748,16,16,66.3707636785996,66.3707636785996
Bahia,2909901,Curaçá,Nordeste,34700,0,0,0,0,16,16,46.1095100864553,46.1095100864553,21,21,60.5187319884726,60.5187319884726
Piauí,2203206,Curimatá,Nordeste,11388,0,0,0,0,8,8,70.2493853178785,70.2493853178785,6,6,52.6870389884089,52.6870389884089
Pará,1502772,Curionópolis,Norte,17929,0,0,0,0,12,9,66.9306709799766,50.1980032349824,15,15,83.6633387249707,83.6633387249707
Paraná,4106902,Curitiba,Sul,1933105,472,24.4166767971735,211,10.9150822122958,8595,4989,444.621476846835,258.082204536225,3293,2749,170.347704858246,142.206450244555
Santa Catarina,4204806,Curitibanos,Sul,39745,8,20.1283180274248,8,20.1283180274248,88,76,221.411498301673,191.219021260536,52,49,130.834067178261,123.285947917977
Paraná,4107009,Curiúva,Sul,15101,0,0,0,0,7,6,46.3545460565525,39.7324680484736,12,12,79.4649360969472,79.4649360969472
Piauí,2203230,Currais,Nordeste,4954,0,0,0,0,0,0,0,0,1,1,20.185708518369,20.185708518369
Rio Grande do Norte,2403103,Currais Novos,Nordeste,44786,10,22.3284061983656,0,0,79,66,176.394408967088,147.367480909213,62,62,138.436118429867,138.436118429867
Paraíba,2505279,Curral de Cima,Nordeste,5227,0,0,0,0,2,2,38.2628658886551,38.2628658886551,5,5,95.6571647216377,95.6571647216377
Minas Gerais,3120870,Curral de Dentro,Sudeste,7729,0,0,0,0,4,4,51.753137533963,51.753137533963,6,6,77.6297063009445,77.6297063009445
Piauí,2203271,Curral Novo do Piauí,Nordeste,5343,0,0,0,0,2,2,37.4321542204754,37.4321542204754,2,2,37.4321542204754,37.4321542204754
Paraíba,2505303,Curral Velho,Nordeste,2516,0,0,0,0,1,1,39.7456279809221,39.7456279809221,2,2,79.4912559618442,79.4912559618442
Pará,1502806,Curralinho,Norte,34448,0,0,0,0,8,8,23.22340919647,23.22340919647,12,12,34.8351137947051,34.8351137947051
Piauí,2203255,Curralinhos,Nordeste,4443,0,0,0,0,2,2,45.0146297546703,45.0146297546703,2,2,45.0146297546703,45.0146297546703
Pará,1502855,Curuá,Norte,14393,0,0,0,0,5,5,34.7391092892378,34.7391092892378,15,15,104.217327867713,104.217327867713
Pará,1502905,Curuçá,Norte,40066,0,0,0,0,8,8,19.9670543603055,19.9670543603055,19,19,47.4217541057255,47.4217541057255
Maranhão,2103703,Cururupu,Nordeste,32695,0,0,0,0,25,25,76.4642911760208,76.4642911760208,28,28,85.6400061171433,85.6400061171433
Mato Grosso,5103437,Curvelândia,Centro-Oeste,5219,0,0,0,0,3,3,57.4822762981414,57.4822762981414,5,5,95.8037938302357,95.8037938302357
Minas Gerais,3120904,Curvelo,Sudeste,80129,20,24.9597523992562,20,24.9597523992562,135,128,168.478328694979,159.74241535524,63,62,78.623220057657,77.3752324376942
Pernambuco,2605103,Custódia,Nordeste,37111,0,0,0,0,17,15,45.8085203847916,40.4192826924631,31,29,83.5331842310905,78.1439465387621
Amapá,1600212,Cutias,Norte,5983,0,0,0,0,3,3,50.1420691960555,50.1420691960555,6,6,100.284138392111,100.284138392111
Goiás,5206701,Damianópolis,Centro-Oeste,3311,0,0,0,0,1,1,30.2023557837511,30.2023557837511,4,4,120.809423135005,120.809423135005
Paraíba,2505352,Damião,Nordeste,5330,0,0,0,0,2,2,37.5234521575985,37.5234521575985,6,6,112.57035647279601,112.57035647279601
Goiás,5206800,Damolândia,Centro-Oeste,2938,0,0,0,0,3,3,102.11027910143,102.11027910143,4,4,136.147038801906,136.147038801906
Tocantins,1706506,Darcinópolis,Norte,6097,0,0,0,0,2,2,32.8030178776447,32.8030178776447,5,5,82.0075446941119,82.0075446941119
Bahia,2910008,Dário Meira,Nordeste,10710,0,0,0,0,2,2,18.6741363211951,18.6741363211951,11,11,102.707749766573,102.707749766573
Minas Gerais,3121001,Datas,Sudeste,5410,0,0,0,0,5,4,92.4214417744917,73.9371534195933,5,5,92.4214417744917,92.4214417744917
Rio Grande do Sul,4306304,David Canabarro,Sul,4740,0,0,0,0,8,8,168.776371308017,168.776371308017,5,5,105.485232067511,105.485232067511
Maranhão,2103752,Davinópolis,Nordeste,12908,0,0,0,0,4,4,30.9885342423303,30.9885342423303,11,11,85.2184691664084,85.2184691664084
Goiás,5206909,Davinópolis,Centro-Oeste,2094,0,0,0,0,3,3,143.266475644699,143.266475644699,2,2,95.5109837631328,95.5109837631328
Minas Gerais,3121100,Delfim Moreira,Sudeste,8025,0,0,0,0,8,6,99.6884735202492,74.7663551401869,12,12,149.532710280374,149.532710280374
Minas Gerais,3121209,Delfinópolis,Sudeste,7114,0,0,0,0,6,6,84.3407365757661,84.3407365757661,11,11,154.624683722238,154.624683722238
Alagoas,2702405,Delmiro Gouveia,Nordeste,52016,0,0,0,0,46,44,88.434327899108,84.5893571208859,51,50,98.0467548446632,96.1242694555521
Minas Gerais,3121258,Delta,Sudeste,10533,0,0,0,0,10,10,94.9397132820659,94.9397132820659,7,7,66.4577992974461,66.4577992974461
Piauí,2203305,Demerval Lobão,Nordeste,13817,0,0,0,0,12,12,86.8495331837591,86.8495331837591,19,19,137.511760874285,137.511760874285
Mato Grosso,5103452,Denise,Centro-Oeste,9462,0,0,0,0,1,1,10.568590150074,10.568590150074,5,5,52.8429507503699,52.8429507503699
Mato Grosso do Sul,5003454,Deodápolis,Centro-Oeste,12924,0,0,0,0,9,8,69.6378830083566,61.9003404518725,5,5,38.6877127824203,38.6877127824203
Ceará,2304269,Deputado Irapuan Pinheiro,Nordeste,9625,0,0,0,0,4,4,41.5584415584416,41.5584415584416,9,9,93.5064935064935,93.5064935064935
Rio Grande do Sul,4306320,Derrubadas,Sul,2805,0,0,0,0,2,2,71.301247771836,71.301247771836,2,2,71.301247771836,71.301247771836
São Paulo,3513702,Descalvado,Sudeste,33718,0,0,0,0,45,36,133.459873064832,106.767898451865,40,32,118.630998279851,94.9047986238804
Santa Catarina,4204905,Descanso,Sul,8250,0,0,0,0,9,8,109.090909090909,96.969696969697,5,5,60.6060606060606,60.6060606060606
Minas Gerais,3121308,Descoberto,Sudeste,5013,0,0,0,0,7,7,139.636943945741,139.636943945741,2,2,39.8962696987832,39.8962696987832
Paraíba,2505402,Desterro,Nordeste,8297,0,0,0,0,5,5,60.2627455706882,60.2627455706882,6,6,72.3152946848258,72.3152946848258
Minas Gerais,3121407,Desterro de Entre Rios,Sudeste,7243,0,0,0,0,9,5,124.257904183349,69.0321689907497,6,6,82.8386027888996,82.8386027888996
Minas Gerais,3121506,Desterro do Melo,Sudeste,2901,0,0,0,0,1,1,34.4708721130645,34.4708721130645,2,2,68.9417442261289,68.9417442261289
Rio Grande do Sul,4306353,Dezesseis de Novembro,Sul,2427,0,0,0,0,2,1,82.4062628759786,41.2031314379893,1,1,41.2031314379893,41.2031314379893
São Paulo,3513801,Diadema,Sudeste,423884,40,9.43654396014004,28,6.60558077209803,1089,750,256.909909314813,176.935199252626,428,407,100.971020373498,96.0168347944249
Paraíba,2505600,Diamante,Nordeste,6552,0,0,0,0,0,0,0,0,8,8,122.100122100122,122.100122100122
Paraná,4107157,Diamante D'Oeste,Sul,5253,0,0,0,0,5,5,95.1837045497811,95.1837045497811,5,5,95.1837045497811,95.1837045497811
Paraná,4107108,Diamante do Norte,Sul,5087,0,0,0,0,5,5,98.2897582071948,98.2897582071948,6,6,117.947709848634,117.947709848634
Paraná,4107124,Diamante do Sul,Sul,3439,0,0,0,0,1,1,29.0782204129107,29.0782204129107,4,4,116.312881651643,116.312881651643
Minas Gerais,3121605,Diamantina,Sudeste,47723,20,41.9085137145611,20,41.9085137145611,138,127,289.168744630472,266.119062087463,114,113,238.878528172998,236.78310248727
Mato Grosso,5103502,Diamantino,Centro-Oeste,22041,0,0,0,0,20,18,90.7399845742026,81.6659861167824,29,28,131.572977632594,127.035978403884
Tocantins,1707009,Dianópolis,Norte,22139,0,0,0,0,8,5,36.1353267988617,22.5845792492886,9,9,40.6522426487195,40.6522426487195
Bahia,2910057,Dias d'Ávila,Nordeste,81089,0,0,0,0,71,50,87.5581151574196,61.6606444770561,58,53,71.526347593385,65.3602831456794
Rio Grande do Sul,4306379,Dilermando de Aguiar,Sul,3014,0,0,0,0,5,5,165.892501658925,165.892501658925,4,4,132.71400132714,132.71400132714
Minas Gerais,3121704,Diogo de Vasconcelos,Sudeste,3802,0,0,0,0,4,4,105.207785376118,105.207785376118,4,4,105.207785376118,105.207785376118
Minas Gerais,3121803,Dionísio,Sudeste,7729,0,0,0,0,2,2,25.8765687669815,25.8765687669815,7,7,90.5679906844352,90.5679906844352
Santa Catarina,4205001,Dionísio Cerqueira,Sul,15498,0,0,0,0,19,18,122.596464059879,116.144018583043,15,15,96.7866821525358,96.7866821525358
Goiás,5207105,Diorama,Centro-Oeste,2484,0,0,0,0,5,5,201.288244766506,201.288244766506,3,3,120.772946859903,120.772946859903
São Paulo,3513850,Dirce Reis,Sudeste,1793,0,0,0,0,3,3,167.317345231456,167.317345231456,1,1,55.7724484104852,55.7724484104852
Piauí,2203354,Dirceu Arcoverde,Nordeste,7011,0,0,0,0,2,2,28.5266010554842,28.5266010554842,5,5,71.3165026387106,71.3165026387106
Sergipe,2802007,Divina Pastora,Nordeste,5138,0,0,0,0,4,4,77.8513040093421,77.8513040093422,1,1,19.4628260023355,19.4628260023355
Minas Gerais,3121902,Divinésia,Sudeste,3417,0,0,0,0,4,4,117.061750073164,117.061750073164,4,4,117.061750073164,117.061750073164
Minas Gerais,3122009,Divino,Sudeste,19931,0,0,0,0,12,11,60.2077166223471,55.1904069038182,14,14,70.2423360594049,70.2423360594049
Minas Gerais,3122108,Divino das Laranjeiras,Sudeste,4979,0,0,0,0,3,3,60.2530628640289,60.2530628640289,10,10,200.843542880096,200.843542880096
Espírito Santo,3201803,Divino de São Lourenço,Sudeste,4304,0,0,0,0,0,0,0,0,7,7,162.639405204461,162.639405204461
São Paulo,3513900,Divinolândia,Sudeste,11146,0,0,0,0,77,75,690.83079131527,672.88713439799,23,22,206.352054548717,197.380226090077
Minas Gerais,3122207,Divinolândia de Minas,Sudeste,7571,0,0,0,0,5,5,66.0414740457007,66.0414740457007,8,8,105.666358473121,105.666358473121
Minas Gerais,3122306,Divinópolis,Sudeste,238230,76,31.901943499979,34,14.2719220920959,615,300,258.153884901146,125.928724342022,616,393,258.573647315619,164.966628888049
Goiás,5208301,Divinópolis de Goiás,Centro-Oeste,4804,0,0,0,0,4,4,83.2639467110741,83.2639467110741,4,4,83.2639467110741,83.2639467110741
Tocantins,1707108,Divinópolis do Tocantins,Norte,6900,0,0,0,0,6,6,86.9565217391304,86.9565217391304,8,8,115.942028985507,115.942028985507
Minas Gerais,3122355,Divisa Alegre,Sudeste,6786,0,0,0,0,1,1,14.7362216327734,14.7362216327734,5,5,73.6811081638668,73.6811081638668
Minas Gerais,3122405,Divisa Nova,Sudeste,6011,0,0,0,0,3,3,49.9085010813509,49.9085010813509,7,7,116.453169189819,116.453169189819
Minas Gerais,3122454,Divisópolis,Sudeste,11019,0,0,0,0,6,5,54.4514021236047,45.3761684363372,7,7,63.5266358108721,63.5266358108721
São Paulo,3514007,Dobrada,Sudeste,8929,0,0,0,0,7,7,78.3962369806249,78.3962369806249,9,9,100.795161832232,100.795161832232
São Paulo,3514106,Dois Córregos,Sudeste,27315,0,0,0,0,34,31,124.473732381475,113.490755994875,20,18,73.2198425773385,65.8978583196046
Rio Grande do Sul,4306403,Dois Irmãos,Sul,32671,0,0,0,0,69,50,211.196473937131,153.040923142848,25,24,76.5204615714242,73.4596431085672
Rio Grande do Sul,4306429,Dois Irmãos das Missões,Sul,2026,0,0,0,0,2,2,98.7166831194472,98.7166831194472,1,1,49.3583415597236,49.3583415597236
Mato Grosso do Sul,5003488,Dois Irmãos do Buriti,Centro-Oeste,11385,0,0,0,0,6,5,52.7009222661396,43.9174352217831,13,13,114.185331576636,114.185331576636
Tocantins,1707207,Dois Irmãos do Tocantins,Norte,7198,0,0,0,0,2,2,27.7854959711031,27.7854959711031,6,6,83.3564879133093,83.3564879133093
Rio Grande do Sul,4306452,Dois Lajeados,Sul,3400,0,0,0,0,2,2,58.8235294117647,58.8235294117647,3,2,88.2352941176471,58.8235294117647
Alagoas,2702504,Dois Riachos,Nordeste,11075,0,0,0,0,7,7,63.2054176072235,63.2054176072235,11,11,99.3227990970655,99.3227990970655
Paraná,4107207,Dois Vizinhos,Sul,40641,0,0,0,0,36,24,88.5804975271278,59.0536650180852,28,28,68.8959425210994,68.8959425210994
São Paulo,3514205,Dolcinópolis,Sudeste,2115,0,0,0,0,4,2,189.125295508274,94.5626477541371,1,1,47.2813238770686,47.2813238770686
Mato Grosso,5103601,Dom Aquino,Centro-Oeste,8178,0,0,0,0,3,3,36.6837857666911,36.6837857666911,5,5,61.1396429444852,61.1396429444852
Bahia,2910107,Dom Basílio,Nordeste,12199,0,0,0,0,8,8,65.5791458316256,65.5791458316256,13,13,106.566111976392,106.566111976392
Minas Gerais,3122470,Dom Bosco,Sudeste,3677,0,0,0,0,0,0,0,0,3,3,81.588251291814,81.588251291814
Minas Gerais,3122504,Dom Cavati,Sudeste,5072,0,0,0,0,1,1,19.7160883280757,19.7160883280757,4,4,78.8643533123028,78.8643533123028
Pará,1502939,Dom Eliseu,Norte,59719,0,0,0,0,26,22,43.5372327065088,36.8391969055075,27,27,45.2117416567592,45.2117416567592
Piauí,2203404,Dom Expedito Lopes,Nordeste,6904,0,0,0,0,3,3,43.4530706836616,43.4530706836616,3,3,43.4530706836616,43.4530706836616
Rio Grande do Sul,4306502,Dom Feliciano,Sul,15414,0,0,0,0,3,3,19.4628260023355,19.4628260023355,6,6,38.9256520046711,38.9256520046711
Piauí,2203453,Dom Inocêncio,Nordeste,9556,0,0,0,0,4,4,41.8585182084554,41.8585182084554,6,6,62.7877773126831,62.7877773126831
Minas Gerais,3122603,Dom Joaquim,Sudeste,4195,0,0,0,0,3,3,71.5137067938021,71.5137067938021,5,5,119.189511323004,119.189511323004
Bahia,2910206,Dom Macedo Costa,Nordeste,4058,0,0,0,0,2,2,49.2853622474125,49.2853622474125,5,5,123.213405618531,123.213405618531
Rio Grande do Sul,4306601,Dom Pedrito,Sul,38461,5,13.000182002548,0,0,43,40,111.801565221913,104.001456020384,28,27,72.801019214269,70.2009828137594
Maranhão,2103802,Dom Pedro,Nordeste,23350,0,0,0,0,11,11,47.1092077087794,47.1092077087794,14,14,59.9571734475375,59.9571734475375
Rio Grande do Sul,4306551,Dom Pedro de Alcântara,Sul,2534,0,0,0,0,0,0,0,0,2,2,78.9265982636148,78.9265982636148
Minas Gerais,3122702,Dom Silvério,Sudeste,5237,0,0,0,0,8,8,152.759213290052,152.759213290052,7,7,133.664311628795,133.664311628795
Minas Gerais,3122801,Dom Viçoso,Sudeste,3001,0,0,0,0,1,1,33.3222259246918,33.3222259246918,2,2,66.6444518493835,66.6444518493835
Espírito Santo,3201902,Domingos Martins,Sudeste,33850,0,0,0,0,137,128,404.726735598228,378.138847858198,28,28,82.7178729689808,82.7178729689808
Piauí,2203420,Domingos Mourão,Nordeste,4355,0,0,0,0,2,2,45.9242250287026,45.9242250287026,2,2,45.9242250287026,45.9242250287026
Santa Catarina,4205100,Dona Emma,Sul,4146,0,0,0,0,2,2,48.2392667631452,48.2392667631452,3,3,72.3589001447178,72.3589001447178
Minas Gerais,3122900,Dona Eusébia,Sudeste,6572,0,0,0,0,3,3,45.6482045039562,45.6482045039562,5,5,76.080340839927,76.080340839927
Rio Grande do Sul,4306700,Dona Francisca,Sul,3041,0,0,0,0,1,1,32.8839197632358,32.8839197632358,3,3,98.6517592897073,98.6517592897073
Paraíba,2505709,Dona Inês,Nordeste,10453,0,0,0,0,10,10,95.6663158901751,95.6663158901751,11,11,105.232947479193,105.232947479193
Minas Gerais,3123007,Dores de Campos,Sudeste,10153,0,0,0,0,4,2,39.397222495814,19.698611247907,11,11,108.342361863489,108.342361863489
Minas Gerais,3123106,Dores de Guanhães,Sudeste,5169,0,0,0,0,3,3,58.0383052814858,58.0383052814858,5,5,96.7305088024763,96.7305088024763
Minas Gerais,3123205,Dores do Indaiá,Sudeste,13483,0,0,0,0,13,12,96.4177111918712,89.0009641771119,13,11,96.4177111918712,81.5842171623526
Espírito Santo,3202009,Dores do Rio Preto,Sudeste,6749,0,0,0,0,10,10,148.170099273967,148.170099273967,7,7,103.719069491777,103.719069491777
Minas Gerais,3123304,Dores do Turvo,Sudeste,4259,0,0,0,0,2,2,46.9593801361822,46.9593801361822,3,3,70.4390702042733,70.4390702042733
Minas Gerais,3123403,Doresópolis,Sudeste,1527,0,0,0,0,2,2,130.975769482646,130.975769482646,2,2,130.975769482646,130.975769482646
Pernambuco,2605152,Dormentes,Nordeste,18908,0,0,0,0,14,14,74.0427332346097,74.0427332346097,15,15,79.3314998942247,79.3314998942247
Paraná,4107256,Douradina,Sul,8747,0,0,0,0,6,3,68.5949468389162,34.2974734194581,9,9,102.892420258374,102.892420258374
Mato Grosso do Sul,5003504,Douradina,Centro-Oeste,5924,0,0,0,0,6,6,101.282916948008,101.282916948008,5,5,84.4024307900068,84.4024307900068
São Paulo,3514304,Dourado,Sudeste,8873,0,0,0,0,6,6,67.6208723092528,67.6208723092528,8,8,90.1611630790037,90.1611630790037
Minas Gerais,3123502,Douradoquara,Sudeste,1908,0,0,0,0,0,0,0,0,3,3,157.232704402516,157.232704402516
Mato Grosso do Sul,5003702,Dourados,Centro-Oeste,222949,69,30.9487820084414,46,20.6325213389609,707,567,317.112882318378,254.318252156323,501,458,224.71506936564,205.428147244437
Paraná,4107306,Doutor Camargo,Sul,5979,0,0,0,0,2,2,33.4504097675197,33.4504097675197,6,6,100.351229302559,100.351229302559
Rio Grande do Sul,4306734,Doutor Maurício Cardoso,Sul,4549,0,0,0,0,4,3,87.931413497472,65.948560123104,3,3,65.948560123104,65.948560123104
Santa Catarina,4205159,Doutor Pedrinho,Sul,4064,0,0,0,0,2,2,49.2125984251969,49.2125984251969,2,2,49.2125984251969,49.2125984251969
Rio Grande do Sul,4306759,Doutor Ricardo,Sul,1983,0,0,0,0,1,1,50.4286434694907,50.4286434694907,3,2,151.285930408472,100.857286938981
Rio Grande do Norte,2403202,Doutor Severiano,Nordeste,7076,0,0,0,0,3,3,42.3968343697004,42.3968343697004,6,6,84.7936687394008,84.7936687394008
Paraná,4128633,Doutor Ulysses,Sul,5580,0,0,0,0,2,2,35.84229390681,35.84229390681,5,5,89.6057347670251,89.6057347670251
Goiás,5207253,Doverlândia,Centro-Oeste,7322,0,0,0,0,4,4,54.6298825457525,54.6298825457525,10,10,136.574706364381,136.574706364381
São Paulo,3514403,Dracena,Sudeste,46793,10,21.3707178424123,10,21.3707178424123,123,111,262.859829461672,237.214968050777,59,56,126.087235270233,119.676019917509
São Paulo,3514502,Duartina,Sudeste,12445,0,0,0,0,13,8,104.459622338288,64.2828445158698,13,13,104.459622338288,104.459622338288
Rio de Janeiro,3301603,Duas Barras,Sudeste,11492,0,0,0,0,12,12,104.420466411417,104.420466411417,11,11,95.7187608771319,95.7187608771319
Paraíba,2505808,Duas Estradas,Nordeste,3596,0,0,0,0,5,5,139.043381535039,139.043381535039,3,3,83.4260289210234,83.4260289210234
Tocantins,1707306,Dueré,Norte,4686,0,0,0,0,3,3,64.0204865556978,64.0204865556978,4,4,85.3606487409304,85.3606487409304
São Paulo,3514601,Dumont,Sudeste,9868,0,0,0,0,23,23,233.076611268747,233.076611268747,6,6,60.8025942440211,60.8025942440211
Maranhão,2103901,Duque Bacelar,Nordeste,11349,0,0,0,0,6,6,52.8680941052075,52.8680941052075,7,7,61.6794431227421,61.6794431227421
Rio de Janeiro,3301702,Duque de Caxias,Sudeste,919596,77,8.37324216286282,30,3.26230214137513,1937,1519,210.635974928121,165.181231758294,983,963,106.894766832392,104.719898738142
Minas Gerais,3123528,Durandé,Sudeste,7841,0,0,0,0,3,3,38.2604259660758,38.2604259660758,2,2,25.5069506440505,25.5069506440505
São Paulo,3514700,Echaporã,Sudeste,6102,0,0,0,0,17,17,278.597181252049,278.597181252049,10,10,163.880694854146,163.880694854146
Espírito Santo,3202108,Ecoporanga,Sudeste,22923,0,0,0,0,17,16,74.1613226890023,69.7988919425904,15,15,65.4364611961785,65.4364611961785
Goiás,5207352,Edealina,Centro-Oeste,3699,0,0,0,0,4,4,108.137334414707,108.137334414707,5,5,135.171668018383,135.171668018383
Goiás,5207402,Edéia,Centro-Oeste,12372,0,0,0,0,14,10,113.158745554478,80.8276753960556,16,16,129.324280633689,129.324280633689
Amazonas,1301407,Eirunepé,Norte,35273,0,0,0,0,13,13,36.8553851387747,36.8553851387747,34,34,96.3910072860261,96.3910072860261
São Paulo,3514809,Eldorado,Sudeste,15494,0,0,0,0,7,7,45.1787788821479,45.1787788821479,15,15,96.8116690331741,96.8116690331741
Mato Grosso do Sul,5003751,Eldorado,Centro-Oeste,12353,0,0,0,0,10,8,80.9519954666883,64.7615963733506,13,12,105.237594106695,97.1423945600259
Pará,1502954,Eldorado do Carajás,Norte,33808,0,0,0,0,7,6,20.7051585423568,17.7472787505916,13,12,38.4524372929484,35.4945575011832
Rio Grande do Sul,4306767,Eldorado do Sul,Sul,41285,0,0,0,0,54,52,130.798110693957,125.95373622381,21,21,50.8659319365387,50.8659319365387
Piauí,2203503,Elesbão Veloso,Nordeste,14602,0,0,0,0,7,7,47.9386385426654,47.9386385426654,16,16,109.574030954664,109.574030954664
São Paulo,3514908,Elias Fausto,Sudeste,17772,0,0,0,0,16,15,90.0292595093405,84.4024307900067,11,11,61.8951159126716,61.8951159126716
Piauí,2203602,Eliseu Martins,Nordeste,4915,0,0,0,0,1,1,20.3458799593082,20.3458799593082,4,4,81.383519837233,81.383519837233
São Paulo,3514924,Elisiário,Sudeste,3651,0,0,0,0,2,2,54.7795124623391,54.7795124623391,1,1,27.3897562311695,27.3897562311695
Bahia,2910305,Elísio Medrado,Nordeste,8122,0,0,0,0,4,4,49.248953459739,49.248953459739,9,9,110.810145284413,110.810145284413
Minas Gerais,3123601,Elói Mendes,Sudeste,28076,0,0,0,0,45,39,160.279242057273,138.908676449637,14,14,49.864653084485,49.864653084485
Paraíba,2505907,Emas,Nordeste,3522,0,0,0,0,1,1,28.3929585462805,28.3929585462805,1,1,28.3929585462805,28.3929585462805
São Paulo,3514957,Embaúba,Sudeste,2452,0,0,0,0,1,1,40.7830342577488,40.7830342577488,2,2,81.5660685154976,81.5660685154976
São Paulo,3515103,Embu-Guaçu,Sudeste,69385,0,0,0,0,42,31,60.5318152338402,44.6782445773582,46,44,66.2967500180154,63.4142826259278
São Paulo,3515004,Embu das Artes,Sudeste,273726,0,0,0,0,264,254,96.4468117752789,92.7935234504578,152,149,55.5299825372818,54.4339960398354
São Paulo,3515129,Emilianópolis,Sudeste,3214,0,0,0,0,3,3,93.3416303671438,93.3416303671438,2,2,62.2277535780958,62.2277535780958
Rio Grande do Sul,4306809,Encantado,Sul,22706,0,0,0,0,66,56,290.672069056637,246.630846472298,37,33,162.952523562054,145.336034528318
Rio Grande do Norte,2403301,Encanto,Nordeste,5638,0,0,0,0,2,2,35.4735721887194,35.4735721887194,4,4,70.9471443774388,70.9471443774388
Bahia,2910404,Encruzilhada,Nordeste,17006,0,0,0,0,12,12,70.5633305892038,70.5633305892038,16,16,94.0844407856051,94.0844407856051
Rio Grande do Sul,4306908,Encruzilhada do Sul,Sul,25877,0,0,0,0,21,20,81.1531475827955,77.2887119836148,24,24,92.7464543803378,92.7464543803378
Paraná,4107405,Enéas Marques,Sul,5961,0,0,0,0,4,2,67.1028350947827,33.5514175473914,7,7,117.42996141587,117.42996141587
Paraná,4107504,Engenheiro Beltrão,Sul,14000,0,0,0,0,9,8,64.2857142857143,57.1428571428571,10,10,71.4285714285714,71.4285714285714
Minas Gerais,3123700,Engenheiro Caldas,Sudeste,11134,0,0,0,0,8,6,71.8519849110832,53.8889886833124,6,6,53.8889886833124,53.8889886833124
São Paulo,3515152,Engenheiro Coelho,Sudeste,20773,0,0,0,0,44,37,211.81341164011,178.115823424638,12,11,57.7672940836663,52.9533529100274
Minas Gerais,3123809,Engenheiro Navarro,Sudeste,7242,0,0,0,0,2,2,27.6166804750069,27.6166804750069,7,7,96.6583816625242,96.6583816625242
Rio de Janeiro,3301801,Engenheiro Paulo de Frontin,Sudeste,14002,0,0,0,0,25,25,178.545922011141,178.545922011141,12,12,85.7020425653478,85.7020425653478
Rio Grande do Sul,4306924,Engenho Velho,Sul,1034,0,0,0,0,1,1,96.7117988394584,96.7117988394584,3,3,290.135396518375,290.135396518375
Rio Grande do Sul,4306932,Entre-Ijuís,Sul,8475,0,0,0,0,4,4,47.1976401179941,47.1976401179941,6,6,70.7964601769911,70.7964601769911
Minas Gerais,3123858,Entre Folhas,Sudeste,5370,0,0,0,0,3,3,55.8659217877095,55.8659217877095,4,4,74.487895716946,74.487895716946
Bahia,2910503,Entre Rios,Nordeste,41780,0,0,0,0,20,15,47.8697941598851,35.9023456199138,28,28,67.0177118238392,67.0177118238392
Santa Catarina,4205175,Entre Rios,Sul,3203,0,0,0,0,3,3,93.6621916952857,93.6621916952857,3,3,93.6621916952857,93.6621916952857
Minas Gerais,3123908,Entre Rios de Minas,Sudeste,15298,0,0,0,0,11,10,71.9048241600209,65.3680219636554,8,8,52.2944175709243,52.2944175709243
Paraná,4107538,Entre Rios do Oeste,Sul,4539,0,0,0,0,4,4,88.1251376955276,88.1251376955276,6,6,132.187706543291,132.187706543291
Rio Grande do Sul,4306957,Entre Rios do Sul,Sul,2792,0,0,0,0,2,2,71.6332378223496,71.6332378223496,2,2,71.6332378223496,71.6332378223496
Amazonas,1301506,Envira,Norte,20033,0,0,0,0,9,9,44.9258723106874,44.9258723106874,14,14,69.8846902610692,69.8846902610692
Acre,1200252,Epitaciolândia,Norte,18411,0,0,0,0,3,3,16.2946064852534,16.2946064852534,11,11,59.7468904459291,59.7468904459291
Rio Grande do Norte,2403400,Equador,Nordeste,6045,0,0,0,0,2,2,33.085194375517,33.085194375517,5,5,82.7129859387924,82.7129859387924
