estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Ceará,2300408,Aiuaba,Nordeste,17399,0,0,0,0,14,14,80.4643945054313,80.4643945054314,15,15,86.2118512558193,86.2118512558193
Minas Gerais,3101201,Aiuruoca,Sudeste,6003,0,0,0,0,29,29,483.091787439614,483.091787439613,7,7,116.608362485424,116.608362485424
Rio Grande do Sul,4300208,Ajuricaba,Sul,7024,0,0,0,0,8,8,113.895216400911,113.895216400911,7,7,99.6583143507973,99.6583143507973
Minas Gerais,3101300,Alagoa,Sudeste,2674,0,0,0,0,0,0,0,0,2,2,74.794315632012,74.794315632012
Paraíba,2500304,Alagoa Grande,Nordeste,28496,0,0,0,0,20,20,70.1852891633913,70.1852891633913,33,33,115.805727119596,115.805727119596
Paraíba,2500403,Alagoa Nova,Nordeste,20849,0,0,0,0,15,15,71.9458966856924,71.9458966856924,16,16,76.7422897980719,76.7422897980719
Paraíba,2500502,Alagoinha,Nordeste,14489,0,0,0,0,10,10,69.0178756297881,69.0178756297881,10,10,69.0178756297881,69.0178756297881
Pernambuco,2600609,Alagoinha,Nordeste,14636,0,0,0,0,9,9,61.4922109866084,61.4922109866084,16,16,109.319486198415,109.319486198415
Piauí,2200251,Alagoinha do Piauí,Nordeste,7651,0,0,0,0,4,4,52.2807476146909,52.2807476146909,7,7,91.4913083257091,91.4913083257091
Bahia,2900702,Alagoinhas,Nordeste,151596,18,11.8736642127761,10,6.59648011820892,311,196,205.150531676298,129.291010316895,194,163,127.971714293253,107.522625926805
São Paulo,3500758,Alambari,Sudeste,6025,0,0,0,0,8,8,132.780082987552,132.780082987552,7,7,116.182572614108,116.182572614108
Minas Gerais,3101409,Albertina,Sudeste,3007,0,0,0,0,3,3,99.767209843698,99.767209843698,3,3,99.767209843698,99.767209843698
Maranhão,2100204,Alcântara,Nordeste,22097,0,0,0,0,6,6,27.1530071955469,27.1530071955469,17,17,76.9335203873829,76.9335203873829
Ceará,2300507,Alcântaras,Nordeste,11714,0,0,0,0,5,5,42.683967901656104,42.683967901656104,15,15,128.051903704968,128.051903704968
Paraíba,2500536,Alcantil,Nordeste,5492,0,0,0,0,7,7,127.458120903132,127.458120903132,8,8,145.666423889294,145.666423889294
Mato Grosso do Sul,5000252,Alcinópolis,Centro-Oeste,5343,0,0,0,0,7,7,131.012539771664,131.012539771664,11,11,205.876848212615,205.876848212615
Bahia,2900801,Alcobaça,Nordeste,22470,0,0,0,0,24,24,106.809078771696,106.809078771696,19,19,84.5571873609257,84.5571873609257
Maranhão,2100303,Aldeias Altas,Nordeste,26532,0,0,0,0,8,8,30.1522689582391,30.1522689582391,15,15,56.5355042966983,56.5355042966983
Rio Grande do Sul,4300307,Alecrim,Sul,5950,0,0,0,0,7,7,117.647058823529,117.647058823529,9,9,151.260504201681,151.260504201681
Espírito Santo,3200201,Alegre,Sudeste,30084,0,0,0,0,62,43,206.089615742587,142.933120595665,29,29,96.3967557505651,96.3967557505651
Rio Grande do Sul,4300406,Alegrete,Sul,73589,8,10.871189987634,8,10.871189987634,114,104,154.914457323785,141.325469839242,79,78,107.353001127886,105.994102379432
Piauí,2200277,Alegrete do Piauí,Nordeste,4915,0,0,0,0,3,3,61.0376398779247,61.0376398779247,3,3,61.0376398779247,61.0376398779247
Rio Grande do Sul,4300455,Alegria,Sul,3464,0,0,0,0,4,3,115.473441108545,86.6050808314088,2,2,57.7367205542725,57.7367205542725
Minas Gerais,3101508,Além Paraíba,Sudeste,35362,5,14.1394717493354,5,14.1394717493354,68,52,192.296815790962,147.050506193089,36,35,101.804196595215,98.9763022453481
Pará,1500404,Alenquer,Norte,56789,0,0,0,0,15,15,26.4135660075015,26.4135660075015,27,27,47.5444188135026,47.5444188135026
